reading_id,sensor_id,location,timestamp,temperature_celsius,humidity_percent,pressure_hpa,battery_level,signal_strength
READ_00000001,SENSOR_006,Warehouse_1,2024-09-01T00:05:00,26.13,41.3,1010.7,91,-60
READ_00000002,SENSOR_043,Office_Floor_2,2024-09-01T00:10:00,23.12,55.82,1017.97,70,-81
READ_00000003,SENSOR_013,Building_A,2024-09-01T00:15:00,16.22,55.32,1017.57,72,-72
READ_00000004,SENSOR_009,Building_B,2024-09-01T00:20:00,23.67,63.98,1014.4,53,-37
READ_00000005,SENSOR_030,Office_Floor_1,2024-09-01T00:25:00,22.41,51.57,1030.04,65,-75
READ_00000006,SENSOR_047,Office_Floor_2,2024-09-01T00:30:00,20.8,35.88,1013.45,49,-64
READ_00000007,SENSOR_001,Warehouse_1,2024-09-01T00:35:00,23.97,57.61,1022.65,78,-78
READ_00000008,SENSOR_038,Office_Floor_2,2024-09-01T00:40:00,23.63,46.56,1014.79,90,-48
READ_00000009,SENSOR_022,Warehouse_2,2024-09-01T00:45:00,21.93,67.94,1016.61,92,-40
READ_00000010,SENSOR_017,Building_A,2024-09-01T00:50:00,24.46,46.27,1017.33,73,-65
READ_00000011,SENSOR_011,Warehouse_1,2024-09-01T00:55:00,21.92,53.62,1018.27,99,-41
READ_00000012,SENSOR_017,Office_Floor_1,2024-09-01T01:00:00,25.44,41.15,1008.62,55,-53
READ_00000013,SENSOR_017,Office_Floor_2,2024-09-01T01:05:00,23.08,48.99,1016.69,33,-72
READ_00000014,SENSOR_045,Office_Floor_1,2024-09-01T01:10:00,17.9,42.81,1011.0,29,-46
READ_00000015,SENSOR_042,Building_B,2024-09-01T01:15:00,22.01,42.26,1018.08,65,-74
READ_00000016,SENSOR_003,Building_A,2024-09-01T01:20:00,20.98,54.36,1009.6,83,-45
READ_00000017,SENSOR_018,Office_Floor_2,2024-09-01T01:25:00,19.3,29.19,1017.03,43,-31
READ_00000018,SENSOR_033,Warehouse_2,2024-09-01T01:30:00,20.03,54.21,1007.89,94,-59
READ_00000019,SENSOR_012,Warehouse_2,2024-09-01T01:35:00,26.14,40.01,1019.51,94,-83
READ_00000020,SENSOR_048,Building_B,2024-09-01T01:40:00,21.93,53.62,1017.82,86,-75
READ_00000021,SENSOR_036,Warehouse_2,2024-09-01T01:45:00,23.4,44.44,1004.58,97,-61
READ_00000022,SENSOR_022,Building_A,2024-09-01T01:50:00,24.59,54.6,1010.61,33,-39
READ_00000023,SENSOR_011,Office_Floor_1,2024-09-01T01:55:00,25.89,33.33,1015.11,70,-85
READ_00000024,SENSOR_010,Building_A,2024-09-01T02:00:00,22.97,51.59,1016.35,65,-86
READ_00000025,SENSOR_049,Warehouse_2,2024-09-01T02:05:00,21.31,35.22,1017.22,27,-49
READ_00000026,SENSOR_024,Warehouse_1,2024-09-01T02:10:00,18.91,34.36,1014.25,97,-62
READ_00000027,SENSOR_039,Building_B,2024-09-01T02:15:00,19.93,52.21,1007.6,83,-89
READ_00000028,SENSOR_048,Warehouse_2,2024-09-01T02:20:00,22.13,39.33,1012.07,36,-88
READ_00000029,SENSOR_036,Office_Floor_1,2024-09-01T02:25:00,25.16,52.1,1015.3,55,-68
READ_00000030,SENSOR_040,Warehouse_2,2024-09-01T02:30:00,23.72,38.03,1011.35,82,-48
READ_00000031,SENSOR_001,Building_A,2024-09-01T02:35:00,20.05,43.44,1016.15,63,-66
READ_00000032,SENSOR_005,Building_A,2024-09-01T02:40:00,22.08,34.29,1006.31,40,-90
READ_00000033,SENSOR_038,Building_A,2024-09-01T02:45:00,21.49,62.12,1008.87,96,-37
READ_00000034,SENSOR_022,Warehouse_1,2024-09-01T02:50:00,24.23,45.11,1008.15,67,-90
READ_00000035,SENSOR_015,Building_B,2024-09-01T02:55:00,27.59,58.45,1008.27,31,-89
READ_00000036,SENSOR_006,Warehouse_1,2024-09-01T03:00:00,24.12,32.29,1013.94,88,-88
READ_00000037,SENSOR_012,Building_B,2024-09-01T03:05:00,28.74,54.03,1010.53,54,-55
READ_00000038,SENSOR_029,Warehouse_2,2024-09-01T03:10:00,28.92,55.71,1014.03,38,-77
READ_00000039,SENSOR_026,Warehouse_1,2024-09-01T03:15:00,21.18,44.55,1017.14,84,-53
READ_00000040,SENSOR_009,Building_A,2024-09-01T03:20:00,24.25,32.87,1012.91,39,-86
READ_00000041,SENSOR_003,Office_Floor_1,2024-09-01T03:25:00,19.03,55.55,1017.71,94,-46
READ_00000042,SENSOR_035,Building_A,2024-09-01T03:30:00,20.42,57.79,1014.52,35,-40
READ_00000043,SENSOR_017,Warehouse_2,2024-09-01T03:35:00,15.74,42.24,1014.18,21,-46
READ_00000044,SENSOR_015,Warehouse_2,2024-09-01T03:40:00,20.0,41.29,1016.03,79,-31
READ_00000045,SENSOR_032,Warehouse_1,2024-09-01T03:45:00,21.83,53.41,1011.04,27,-64
READ_00000046,SENSOR_020,Office_Floor_2,2024-09-01T03:50:00,21.7,34.55,1022.04,47,-32
READ_00000047,SENSOR_044,Warehouse_2,2024-09-01T03:55:00,13.11,52.47,1013.35,23,-70
READ_00000048,SENSOR_032,Office_Floor_2,2024-09-01T04:00:00,23.04,43.99,1014.65,43,-52
READ_00000049,SENSOR_006,Office_Floor_2,2024-09-01T04:05:00,24.32,52.87,1018.5,99,-87
READ_00000050,SENSOR_025,Building_A,2024-09-01T04:10:00,17.09,35.5,1008.43,79,-42
READ_00000051,SENSOR_013,Office_Floor_1,2024-09-01T04:15:00,19.98,50.62,1015.17,65,-87
READ_00000052,SENSOR_045,Office_Floor_1,2024-09-01T04:20:00,20.21,44.51,1021.08,79,-31
READ_00000053,SENSOR_008,Building_B,2024-09-01T04:25:00,20.43,47.73,1012.32,88,-44
READ_00000054,SENSOR_032,Office_Floor_2,2024-09-01T04:30:00,22.34,51.02,1012.82,81,-34
READ_00000055,SENSOR_028,Building_A,2024-09-01T04:35:00,19.94,52.73,1013.94,52,-63
READ_00000056,SENSOR_027,Office_Floor_2,2024-09-01T04:40:00,23.32,41.54,1022.83,98,-43
READ_00000057,SENSOR_041,Office_Floor_1,2024-09-01T04:45:00,21.66,54.9,1014.8,74,-45
READ_00000058,SENSOR_045,Building_B,2024-09-01T04:50:00,26.78,29.39,1019.24,91,-63
READ_00000059,SENSOR_033,Warehouse_2,2024-09-01T04:55:00,18.46,44.65,1019.99,35,-77
READ_00000060,SENSOR_014,Warehouse_2,2024-09-01T05:00:00,20.95,56.25,1014.33,53,-73
READ_00000061,SENSOR_046,Building_B,2024-09-01T05:05:00,20.48,47.78,1008.25,75,-62
READ_00000062,SENSOR_018,Office_Floor_1,2024-09-01T05:10:00,19.74,50.04,1017.43,22,-47
READ_00000063,SENSOR_020,Office_Floor_2,2024-09-01T05:15:00,24.61,44.2,1006.27,69,-81
READ_00000064,SENSOR_017,Warehouse_1,2024-09-01T05:20:00,24.54,48.07,1013.96,59,-87
READ_00000065,SENSOR_034,Office_Floor_2,2024-09-01T05:25:00,21.73,54.22,1011.73,23,-42
READ_00000066,SENSOR_042,Building_B,2024-09-01T05:30:00,23.01,45.69,1018.34,88,-72
READ_00000067,SENSOR_017,Office_Floor_1,2024-09-01T05:35:00,25.11,41.52,1016.35,29,-65
READ_00000068,SENSOR_017,Building_A,2024-09-01T05:40:00,25.26,45.05,1023.52,23,-79
READ_00000069,SENSOR_043,Office_Floor_1,2024-09-01T05:45:00,25.26,42.46,1013.86,94,-88
READ_00000070,SENSOR_050,Office_Floor_1,2024-09-01T05:50:00,24.48,54.24,1018.81,40,-41
READ_00000071,SENSOR_028,Building_B,2024-09-01T05:55:00,24.29,46.74,1010.95,20,-47
READ_00000072,SENSOR_035,Office_Floor_2,2024-09-01T06:00:00,21.05,38.95,1019.15,34,-73
READ_00000073,SENSOR_017,Building_B,2024-09-01T06:05:00,24.04,32.0,1014.17,26,-50
READ_00000074,SENSOR_032,Warehouse_1,2024-09-01T06:10:00,22.63,41.44,1010.01,90,-47
READ_00000075,SENSOR_038,Warehouse_1,2024-09-01T06:15:00,22.79,56.52,1025.18,68,-57
READ_00000076,SENSOR_045,Warehouse_1,2024-09-01T06:20:00,21.49,56.35,999.91,29,-50
READ_00000077,SENSOR_027,Building_B,2024-09-01T06:25:00,20.26,63.37,996.83,47,-70
