State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Date Local,Units of Measure,Event Type,Observation Count,Observation Percent,Arithmetic Mean,1st Max Value,1st Max Hour,AQI,Method Code,Method Name,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change
17,143,37,88101,23,40.697007,-89.584737,WGS84,PM2.5 - Local Conditions,1 HOUR,,2023-09-16,Micrograms/cubic meter (LC),,24,100,7.929167,11.2,3,,736,Teledyne T640 at 5.0 LPM (Corrected) - Broadband spectroscopy,CITY OFFICE BUILDING,613 N.E. JEFFERSON,Illinois,Peoria,Peoria,"peoria, il",8/8/2024
53,33,57,88101,5,47.55975,-122.338265,WGS84,PM2.5 - Local Conditions,1 HOUR,,10/29/2023,Micrograms/cubic meter (LC),,24,100,12.666667,24.0,22,,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,SEATTLE - DUWAMISH,4700 East Marginal Way South,Washington,King,Seattle,"Seattle-Tacoma-Bellevue, WA",5/17/2024
6,79,2007,88101,1,35.04673,-120.58777,NAD83,PM2.5 - Local Conditions,1 HOUR,,07/30/2023,Micrograms/cubic meter (LC),,24,100,9.666667,16.0,12,,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,CDF,"2391 Willow Road, Arroyo Grande, California",California,San Luis Obispo,Arroyo Grande,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",5/17/2024
19,139,16,88101,1,41.419429,-91.070975,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,5/15/2023,Micrograms/cubic meter (LC),,1,100,7.2,7.2,0,40.0,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,"MUSCATINE, GREENWOOD CEMETARY",FLETCHER ST. & KIMBLE ST.,Iowa,Muscatine,Muscatine,"Muscatine, IA",5/17/2024
23,5,29,88101,3,43.660246,-70.268965,WGS84,PM2.5 - Local Conditions,1 HOUR,,3/18/2023,Micrograms/cubic meter (LC),,24,100,4.708333,11.0,1,,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,PDO - Portland Deering Oaks,"356 State Street, Portland,  Maine",Maine,Cumberland,Portland,"Portland-South Portland, ME",9/24/2025
19,103,2001,88101,3,41.657232,-91.503478,NAD83,PM2.5 - Local Conditions,1 HOUR,,2023/04/25,Micrograms/cubic meter (LC),Included,24,100,15.0625,20.0,2,,236,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,"IOWA CITY, HOOVER SCH.",2200 EAST COURT,Iowa,Johnson,Iowa City,"Iowa City, IA",8/6/2024
46,33,132,88101,3,43.55764,-103.48386,WGS84,PM2.5 - Local Conditions,1 HOUR,,8/11/2023,Micrograms/cubic meter (LC),,24,100,4.241667,6.9,12,,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,Wind Cave,"WIND CAVE NATIONAL PARK, SOUTH DAKOTA",South Dakota,Custer,Not in a city,"Rapid City, SD",5/17/2024
16,79,17,88101,1,47.536389,-116.236667,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,8/27/2023,Micrograms/cubic meter (LC),Included,1,100,12.960299905902566,14.3,0,63.0,545,Met One E-SEQ-FRM PM2.5 with VSCC - Gravimetric,Pinehurst,"PINEHURST/PINEHURST SCHOOL, PINEHURST",Idaho,Shoshone,Pinehurst (Pine Creek),,5/17/2024
48,201,1052,88101,2,29.81453,-95.38769,WGS84,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,10/3/2023,Micrograms/cubic meter (LC),,1,100,8.5,8.5,0,47.0,209,Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C - Beta Attenuation,Houston North Loop,822 North Loop,Texas,Harris,Houston,"Houston-The Woodlands-Sugar Land, TX",8/8/2024
55,87,9,88101,3,44.30738,-88.39509,WGS84,PM2.5 - Local Conditions,1 HOUR,,11/19/2023,Micrograms/cubic meter (LC),,24,100,6.125,9.6,7,,636,Teledyne T640 at 5.0 LPM w/Network Data Alignment enabled - Broadband spectroscopy,APPLETON - AAL,4579 N. Meade Street,Wisconsin,Outagamie,Appleton,"Appleton, WI",7/9/2025
28,35,4,88101,3,31.32389,-89.2922,WGS84,PM2.5 - Local Conditions,1 HOUR,,3/31/2023,Micrograms/cubic meter (LC),Included,24,100,11.170833,14.7,6,,236,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,Hattiesburg,205 Bay Street,Mississippi,Forrest,Hattiesburg,HATTIESBURG MS,7/9/2025
22,19,8,88101,3,30.262347,-93.284906,WGS84,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,5/2/2023,Micrograms/cubic meter (LC),Included,1,100,10.5,10.5,0,54.0,238,Teledyne T640X at 16.67 LPM - Broadband spectroscopy,Westlake,2646 John Stine Road,Louisiana,Calcasieu,Westlake (RR name West Lake),"Lake Charles, LA",8/6/2024
42,101,4,88101,25,40.008889,-75.09778,WGS84,PM2.5 - Local Conditions,1 HOUR,,6/9/2023,Micrograms/cubic meter (LC),,24,100,18.554167,41.8,0,,736,Teledyne T640 at 5.0 LPM (Corrected) - Broadband spectroscopy,Air Management Services Laboratory (AMS LAB),1501 E. LYCOMING AVE.,Pennsylvania,Philadelphia,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",8/7/2024
6,37,9035,88101,1,34.725389,-118.178601,WGS84,PM2.5 - Local Conditions,1 HOUR,,10/21/2023,Micrograms/cubic meter (LC),,24,100,4.125,11.0,22,,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,Lancaster - Fairgrounds,"2551 W. Avenue H Lancaster, CA",California,Los Angeles,Lancaster,"Los Angeles-Long Beach-Anaheim, CA",5/17/2024
32,3,24,88101,3,36.815897,-114.050347,NAD83,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,11/14/2023,Micrograms/cubic meter (LC),,1,100,4.5,4.5,0,25.0,638,Teledyne T640X at 16.67 LPM w/Network Data Alignment enabled - Broadband spectroscopy,Virgin Valley High School,820 Valley View Dr. Mesquite,Nevada,Clark,Mesquite,"Las Vegas-Henderson-Paradise, NV",8/6/2024
6,1,11,88101,3,37.814781,-122.282347,WGS84,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,4/13/2023,Micrograms/cubic meter (LC),,1,100,4.5,4.5,0,25.0,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,Oakland West,1100 21st Street,Kentucky,Alameda,Oakland,"San Francisco-Oakland-Hayward, CA",11/6/2025
29,95,42,88101,4,39.047911,-94.450513,WGS84,PM2.5 - Local Conditions,1 HOUR,,2023-02-26,Micrograms/cubic meter (LC),,24,100,9.0625,16.6,13,,182,Thermo Scientific TEOM 1405-DF Dichotomous FDMS - FDMS Gravimetric,"Blue Ridge, I-70","BLUE RIDGE, I-70: 4018 Harvard Lane, Kansas City, MO 64133",Missouri,Jackson,Kansas City,"Kansas City, MO-KS",5/17/2024
6,111,1004,88101,3,34.44806,-119.2313,NAD83,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,6/23/2023,Micrograms/cubic meter (LC),,1,100,4.9,4.9,0,27.0,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,Ojai - East Ojai Ave,"1201 E. OJAI AVENUE, OJAI, CA  93023",California,Ventura,Ojai,"Oxnard-Thousand Oaks-Ventura, CA",5/21/2024
6,1,11,88101,3,37.814781,-122.282347,WGS84,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,2026-07-25,Micrograms/cubic meter (LC),,1,100,2.2,2.2,0,12.0,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,Oakland West,1100 21st Street,California,Alameda,Oakland,"San Francisco-Oakland-Hayward, CA",11/6/2025
6,11,7,88101,1,39.021221,-122.281803,WGS84,PM2.5 - Local Conditions,1 HOUR,,12/18/2023,Micrograms/cubic meter (LC),Included,24,100,12.5625,21.3,17,,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,Cortina Indian Rancheria,"CORTINA INDIAN RANCHERIA, SPRING VALLEY RD, WILLIAMS",California,Colusa,Cortina Indian Rancheria,,8/7/2024
18,183,3,88101,1,41.169646,-85.629292,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,7/29/2023,Micrograms/cubic meter (LC),,1,100,3.4,3.4,0,19.0,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,Larwill- Whitko Career Academy,Larwill-  710 N. State Rd. 5,Indiana,Whitley,Not in a city,"Fort Wayne, IN",8/8/2024
26,163,93,88101,1,42.385998,-83.266189,WGS84,PM2.5 - Local Conditions,1 HOUR,,6/25/2023,Micrograms/cubic meter (LC),,22,92,12.031818,21.0,2,,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,Eliza Howell-NR,23751 FENKELL ST (Eliza Howell-NR),Michigan,Wayne,Detroit,"Detroit-Warren-Dearborn, MI",3/3/2025
17,115,13,88101,23,39.866834,-88.925594,WGS84,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,9/18/2023,Micrograms/cubic meter (LC),,1,100,7.0,7.0,0,39.0,736,Teledyne T640 at 5.0 LPM (Corrected) - Broadband spectroscopy,IEPA TRAILER,2200 N. 22ND,District Of Columbia,Macon,Decatur,"Decatur, IL",8/8/2024
56,23,4,88101,3,41.8,-110.5,WGS84,PM2.5 - Local Conditions,1 HOUR,,10/31/2023,Micrograms/cubic meter (LC),Included,24,100,3.833333,12.0,9,,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,Kemmerer Mobile,20 Adaville Drive,Wyoming,Lincoln,Diamondville,,7/3/2024
17,197,1011,88101,23,41.221537,-88.190967,WGS84,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,9/8/2023,Micrograms/cubic meter (LC),,1,100,5.1,5.1,0,28.0,736,Teledyne T640 at 5.0 LPM (Corrected) - Broadband spectroscopy,COM ED TRAINING CENTER,36400 S. ESSEX RD.,Illinois,Will,Braidwood,"Chicago-Naperville-Elgin, IL-IN-WI",8/8/2024
10,3,1007,88101,3,39.6,-75.7,WGS84,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,12/4/2023,Micrograms/cubic meter (LC),,1,100,5.1,5.1,0,28.0,636,Teledyne T640 at 5.0 LPM w/Network Data Alignment enabled - Broadband spectroscopy,Lums Pond,LUMS POND STATE PARK,Delaware,New Castle,Not in a city,"philadelphia-camden-wilmington, pa-nj-de-md",8/5/2024
49,35,3013,88101,2,40.496392,-112.036298,WGS84,PM2.5 - Local Conditions,1 HOUR,,1/16/2023,Micrograms/cubic meter (LC),,24,100,1.183333,5.5,20,,184,Thermo Scientific Model 5030 SHARP w/VSCC - Beta Attenuation,Herriman #3,14058 Mirabella Dr.,Utah,Salt Lake,Herriman,SALT LAKE CITY UT,5/17/2024
9,9,2123,88101,3,41.550556,-73.043611,WGS84,PM2.5 - Local Conditions,1 HOUR,,4/6/2023,Micrograms/cubic meter (LC),Included,24,100,6.870833,13.5,9,,238,Teledyne T640X at 16.67 LPM - Broadband spectroscopy,Meadow and Bank Streets,Bank St at Meadow St (see coordinates),Connecticut,New Haven,Waterbury,"New Haven-Milford, CT",6/20/2024
21,145,1027,88101,23,37.08727,-88.60801,WGS84,PM2.5 - Local Conditions,1 HOUR,,2023-06-07,Micrograms/cubic meter (LC),,22,92,23.368182,30.2,12,,736,Teledyne T640 at 5.0 LPM (Corrected) - Broadband spectroscopy,Paducah Transit,920 Harrison Street,Kentucky,McCracken,Paducah,"Paducah, KY-IL",8/6/2024
21,199,3,88101,3,37.09798,-84.61152,WGS84,PM2.5 - Local Conditions,1 HOUR,,2023-12-14,Micrograms/cubic meter (LC),,24,100,9.133333,34.0,18,,636,Teledyne T640 at 5.0 LPM w/Network Data Alignment enabled - Broadband spectroscopy,SOMERSET,"SOMERSET GAS CO WAREHOUSE, 305 CLIFTY STREET",Kentucky,Pulaski,Somerset,"Somerset, KY",8/6/2024
42,3,1008,88101,1,40.617488,-79.727664,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,4/9/2023,Micrograms/cubic meter (LC),,1,100,5.7,5.7,0,32.0,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,Harrison,"1500 Pacific Ave, Natrona Heights, PA 15065 (Harrison)",Arizona,Allegheny,Harrison Township,"Pittsburgh, PA",9/27/2025
1,73,1010,88101,3,33.545278,-86.549167,WGS84,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,10/6/2023,Micrograms/cubic meter (LC),Included,1,100,12.7,12.7,0,58.0,238,Teledyne T640X at 16.67 LPM - Broadband spectroscopy,Leeds, 201 ASHVILLE ROAD,Alabama,Jefferson,Leeds,"Birmingham-Hoover, AL",9/18/2024
51,161,1004,88101,23,37.28342,-79.88452,WGS84,PM2.5 - Local Conditions,1 HOUR,,2026-07-13,Micrograms/cubic meter (LC),,24,100,6.295833,7.4,1,,736,Teledyne T640 at 5.0 LPM (Corrected) - Broadband spectroscopy,East Vinton Elementary School,HERMAN HORN ELEMENTARY SCHOOL,Virginia,Roanoke,Vinton,"Roanoke, VA",8/7/2024
12,11,2003,88101,23,26.3,-80.1,NAD83,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,2023/05/01,Micrograms/cubic meter (LC),,1,100,8.2,8.2,0,46.0,736,Teledyne T640 at 5.0 LPM (Corrected) - Broadband spectroscopy,Pompano Highlands,1951 NE 48TH ST,Florida,Broward,Pompano Beach Highlands,"Miami-Fort Lauderdale-West Palm Beach, FL",8/5/2024
42,3,8,88101,1,40.46542,-79.960757,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,12/26/2023,Micrograms/cubic meter (LC),,1,100,4.1,4.1,0,23.0,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,Lawrenceville,"301 39th St, Pittsburgh, PA 15201 (Lawrenceville)",Pennsylvania,Allegheny,Pittsburgh,"Pittsburgh, PA",8/7/2024
19,113,40,88101,24,41.97677,-91.68766,WGS84,PM2.5 - Local Conditions,1 HOUR,,7/18/2023,Micrograms/cubic meter (LC),,24,100,7.270833,13.3,20,,736,Teledyne T640 at 5.0 LPM (Corrected) - Broadband spectroscopy,Public Health,500 11TH ST NW,Iowa,Linn,Cedar Rapids,"Cedar Rapids, IA",8/21/2025
