transaction_id,account_id,timestamp,amount,currency,transaction_type,category,merchant,balance_after
TX0000000001,ACC00000022,2024-11-14 00:23:26,1104.13,CHF,transfer,entertainment,Merchant_311,24949.21
TX0000000002,ACC00000117,2024-08-19 14:01:02,1.46e+02,USD,transfer,healthcare,Merchant_292,37348.24
TX0000000003,ACC00000179,2024-10-17 02:58:44,743.36,USD,debit,healthcare,Merchant_74,12240.16
TX0000000004,ACC00000098,2024-08-06 21:22:38,"3293,87",USD,fee,healthcare,Merchant_65,25160.02
TX0000000005,ACC00000052,2024-10-02 01:45:16,517.3,USD,fee,shopping,Merchant_176,32989.63
TX0000000006,ACC00000036,2024-10-24 10:56:21,4477.69,EUR,debit,utilities,Merchant_51,45975.56
TX0000000007,ACC00000042,2024-08-11 05:55:01,4072.81,USD,fee,shopping,Merchant_150,40211.04
TX0000000008,ACC00000095,2024-07-18 21:28:55,3.97e+03,JPY,debit,entertainment,Merchant_250,11094.42
TX0000000009,ACC00000064,2024-07-17 16:20:22,"1103,82",USD,fee,dining,Merchant_345,40409.15
TX0000000010,ACC00000106,2024-09-09 18:59:48,1930.13,USD,transfer,salary,Merchant_262,23516.16
TX0000000011,ACC00000148,2024-08-16 02:27:10,824.27,USD,transfer,dining,Merchant_426,40725.88
TX0000000012,ACC00000106,2024-07-01 08:19:26+00:00,3127.75,USD,refund,entertainment,Merchant_497,15813.58
TX0000000013,ACC00000029,2024-10-24 21:20:24,2669.63,USD,credit,groceries,Merchant_444,16756.76
TX0000000014,ACC00000046,2024-09-16 12:48:28,4379.2,USD,refund,healthcare,Merchant_379,35577.0
TX0000000015,ACC00000066,2024-08-22 06:01:39 EST,2204.81,USD,transfer,entertainment,Merchant_38,38903.55
TX0000000016,ACC00000096,2024-07-05 02:07:19,"2185,99",USD,debit,entertainment,Merchant_76,39150.77
TX0000000017,ACC00000177,2024-07-21 17:57:31,2307.88,GBP,debit,transport,Merchant_467,49199.9
TX0000000018,ACC00000096,2024-08-28 23:46:36,2318.74,AUD,debit,transport,Merchant_358,43873.31
TX0000000019,ACC00000136,2024-11-15 09:29:01,1018.86,USD,credit,utilities,Merchant_150,32521.53
TX0000000020,ACC00000037,2024-09-25 01:43:53,4734.22,USD,credit,healthcare,Merchant_228,49253.71
TX0000000021,ACC00000179,2024-11-14 07:56:09,3467.38,USD,transfer,dining,Merchant_33,46330.59
TX0000000022,ACC00000051,2024-09-10 23:25:49,3649.49,AUD,fee,healthcare,Merchant_344,686.36
TX0000000023,ACC00000036,2024-07-07 00:27:12,22.72,USD,credit,groceries,Merchant_421,3461.44
TX0000000024,ACC00000033,2024-06-14 07:43:33,1461.6,USD,fee,transport,Merchant_396,45913.48
TX0000000025,ACC00000173,2024-10-18 14:13:48-05:00,1063.37,USD,refund,shopping,Merchant_12,42470.85
TX0000000026,ACC00000190,2024-10-09 13:44:34,3026.65,USD,debit,healthcare,Merchant_196,24988.39
TX0000000027,ACC00000112,2024-06-03 18:40:43,1266.72,USD,refund,entertainment,Merchant_13,45875.99
TX0000000028,ACC00000014,2024-10-22 19:58:26,1400.38,USD,debit,healthcare,Merchant_75,35788.1
TX0000000029,ACC00000056,2024-08-07 03:23:48,4335.96,CHF,transfer,groceries,Merchant_423,45414.03
TX0000000030,ACC00000029,2024-11-15 08:04:06,"4494,71",JPY,fee,dining,Merchant_403,14659.5
TX0000000031,ACC00000013,2024-10-15 06:44:57,3.54e+03,USD,credit,groceries,Merchant_147,3094.72
TX0000000032,ACC00000017,2024-08-06 04:04:03,1409.95,USD,transfer,shopping,Merchant_198,13669.77
TX0000000033,ACC00000134,2024-10-09 18:04:43,1068.67,USD,debit,transport,Merchant_264,16575.62
TX0000000034,ACC00000013,2024-11-13 14:30:19,2290.95,USD,credit,groceries,Merchant_320,17677.95
TX0000000035,ACC00000098,2024-11-11 08:06:59-05:00,2017.18,USD,transfer,salary,Merchant_57,46576.71
TX0000000036,ACC00000156,2024-10-03 22:35:16,181.42,USD,debit,entertainment,Merchant_455,48107.12
TX0000000037,ACC00000144,2024-09-28 05:06:25,4487.39,USD,credit,salary,Merchant_360,26403.05
TX0000000038,ACC00000109,2024-06-27 21:05:06+08:00,"1,829.70",USD,refund,shopping,Merchant_58,46399.37
TX0000000039,ACC00000092,2024-06-23 02:36:30,4133.18,USD,refund,healthcare,Merchant_340,19330.47
TX0000000040,ACC00000083,2024-07-21 13:26:04,2382.98,USD,debit,dining,Merchant_497,2180.05
